"hashtag_name"
"#nationalvoterregistrationday "
"#voterregistrationday         "
"#makeamericagreatagain…       "
"#maga                         "
"#imwithyou                    "
"#lovetrumpshate               "
"#strongertogether             "
"#debates2016                  "
"#shewon…                      "
"#iregistered…                 "
"#shewon                       "
"#americafirst                 "
"#imwithyou…                   "
"#trumpwon                     "
"#1                            "
"#debatenight                  "
"#maga…                        "
"#americafirst…                "
"#imwithher                    "
"#benghazi                     "
"#isis                         "
"#debate                       "
"#debate…                      "
"#debatenight…                 "
"#tpp                          "
"#trumppence16                 "
"#polls                        "
"#slipping                     "
"#trumptrain…                  "
"#trumptrain                   "
"#declareyourambition          "
"#opioidawarenessweek          "
"#makeamericagreatagain        "
"#ada                          "
"#cripthevote                  "
"#terencecrutcher              "
"#unga                         "
"#thedonald's                  "
"#jimmyfallon                  "
"#thetonightshow               "
"#myteacherisweird             "
"#fallontonight                "
"#hispanicheritagemonth        "
"#lesm                         "
"#librarianofcongress          "
"#wetrumphate                  "
"#election2016                 "
"#potus                        "
"#commanderinchiefforum        "
"#nbcnewsforum                 "
"#media                        "
"#votetrump                    "
"#laborday                     "
"#alconvention2016             "
"#trumpineverett               "
"#obamacare                    "
"#rip                          "
"#juangabriel                  "
"#divodejuarez                 "
"#goodtrouble                  "
"#trumppence2016               "
"#neverhillary                 "
"#blackmenforbernie            "
"#hillary2016                  "
"#blacksfortrump               "
"#enjoy                        "
"#womensequalityday            "
"#crookedhillary               "
"#flashbackfriday              "
"#nps100                       "
"#crookedhillary's             "
"#brexit                       "
"#hannity                      "
"#buildthewall                 "
"#makeamericasafeagain         "
"#diwali                       "
"#blackwomensequalpay          "
"#laflood                      "
"#smallbiz                     "
"#teamtrump                    "
"#alwaystrump                  "
"#standwithlouisiana           "
"#whereshillary                "
"#whd                          "
"#rosanelleaton                "
"#lawandorder                  "
"#daca                         "
"#extremevetting               "
"#usa                          "
"#youthday                     "
"#tbt                          "
"#electionday                  "
"#2a                           "
"#defendthesecond              "
"#scotus                       "
"#taxplan                      "
"#nevertrump                   "
"#icymi                        "
"#purpleheartday               "
"#imwithhernandez              "
"#virwinia                     "
"#demconvention                "
"#restorethevra                "
"#ugpride2016                  "
"#teamusa                      "
"#openingceremony              "
"#rio2016                      "
"#nabjnahj16                   "
"#coastguardday                "
"#trumpmovement                "
"#voterfraud                   "
"#msm                          "
"#khizrkhan                    "
"#trump2016                    "
"#demsinphilly                 "
"#dnc                          "
"#nato                         "
"#stopgunviolence              "
"#enough                       "
"#lgbt                         "
"#pulse                        "
"#dncinphl                     "
"#demsinphl                    "
"#wemadehistory                "
"#rollcallvote                 "
"#rncincle                     "
"#hillarykaine2016             "
"#clintonkaine                 "
"#rncwithbernie                "
"#trumpiswithyou               "
"#standtogether                "
"#trumpyourself                "
"#gopincle                     "
"#gopconvention                "
"#citizensunited               "
"#rncincle's                   "
"#aidsfreegeneration           "
"#60minutes                    "
"#campaignfinance              "
"#turkey                       "
"#mikepence                    "
"#juntossepuede                "
"#irandeal                     "
"#fixdemocracyfirst            "
"#feelthebern                  "
"#naacp107                     "
"#work                         "
"#orlando                      "
"#stopthehate                  "
"#neverforget                  "
"#srebrenica                   "
"#wimbledon                    "
"#philandocastile              "
"#frozen                       "
"#firstinpotus                 "
"#riggedsystem                 "
"#leadright2016                "
"#wcs16                        "
"#makersandtakers              "
"#wakeupamerica                "
"#creatorsaskhrc               "
"#upupup                       "
"#trump                        "
"#turnuptovote                 "
"#ohhillyes                    "
"#dtmag                        "
"#usmc2016                     "
"#nycpride                     "
"#demplatform                  "
"#westvirginia                 "
"#brexitvote                   "
"#democraticsitin              "
"#titleix                      "
"#clinton                      "
"#nobillnobreak                "
"#gunviolence                  "
"#sitin                        "
"#aslongasittakes              "
"#nomoresilence                "
"#disarmhate                   "
"#endgunviolence               "
"#notonemore                   "
"#holdthefloor                 "
"#olmstead                     "
"#gibill                       "
"#veterans                     "
"#moreincommon                 "
"#worldrefugeeday              "
"#laudatosi                    "
"#charleston9                  "
"#trumpdallas                  "
"#sheswithus                   "
"#orlandounited                "
"#filibuster                   "
"#armybday                     "
"#netneutrality                "
"#stanleycup                   "
"#rtm2016                      "
"#wibackher                    "
"#historymade                  "
"#caprimary                    "
"#dday                         "
"#decision2016                 "
"#elkhart                      "
"#votetrump2016                "
"#women4ttump                  "
"#saveelephants                "
"#teachers4trump               "
"#ca4trump                     "
"#neverdems                    "
"#caribbean                    "
"#understandslavery            "
"#memorialday                  "
"#mdw                          "
"#meetthetrumps                "
"#sallyrideday                 "
"#uaw                          "
"#actonclimate                 "
"#armedforcesday               "
"#michaelbrown                 "
"#mothersofthemovement         "
"#changeagents                 "
"#secondamendment              "
"#sayhername                   "
"#megynkellypresents           "
"#orprimary                    "
"#madeinamerica                "
"#internationalnursesday       "
"#washingtondc                 "
"#statehood                    "
"#repmikekelly                 "
"#nebraskaprimary              "
"#trumpforpresident            "
"#mattschlapp                  "
"#jenniferrubin                "
"#gop                          "
"#mothersday                   "
"#madeforhistory               "
"#kentuckyderby                "
"#cincodemayo                  "
"#smallbizweek                 "
"#thanksobama                  "
"#teacherappreciationday       "
"#inprimary                    "
"#apahm                        "
"#whcd                         "
"#fns                          "
"#mayday                       "
"#womancard                    "
"#hillaryoncnn                 "
"#indprimary                   "
"#indiana                      "
"#estoyconella                 "
"#msnbctownhall                "
"#ctprimary                    "
"#deprimary                    "
"#mdprimary                    "
"#paprimary                    "
"#riprimary                    "
"#nyprimary                    "
"#earthday                     "
"#prince                       "
"#hillaryclinton               "
"#hillaryongma                 "
"#trump360                     "
"#primaryday                   "
"#newyorkvalues                "
"#votetrumpny                  "
"#ivoted                       "
"#fightforfamilies             "
"#eastvillage                  "
"#lssc                         "
"#houstonflood                 "
"#hrc4pa                       "
"#presidenttrump               "
"#primary                      "
"#haileypuckett                "
"##                            "
"#newday                       "
"#wiprimary                    "
"#wisconsin                    "
"#votetrumpwi                  "
"#racine                       "
"#wausau                       "
"#eauclaire                    "
"#johnryder                    "
"#'s                           "
"#women4trump                  "
"#derp                         "
"#lyingted                     "
"#nevercruz                    "
"#westerntuesday               "
"#utahcaucus                   "
"#utcaucus                     "
"#arizonaprimary               "
"#azprimary                    "
"#americansamoa                "
"#brussels                     "
"#arizona                      "
"#aipac2016                    "
"#wattersworld                 "
"#trumpcountry                 "
"#utah                         "
"#mormon                       "
"#utahprimary                  "
"#utah4trump                   "
"#az                           "
"#ut                           "
"#supertuesday                 "
"#supertuesday                 "
"#cnn                          "
"#go                           "
"#endcommoncore                "
"#gopdebate                    "
"#donald                       "
"#lightweightsenatormarcorubio "
"#trumpwaikiki                 "
"#mahalo                       "
"#mediafraud                   "
"#msprimary                    "
"#trumpdog                     "
"#supersaturday                "
"#littlemarco                  "
"#kansascaucus                 "
"#caucusfortrump               "
"#votetrumpmi                  "
"#morningjoe                   "
"#kenlangone                   "
"#neilcavuto                   "
"#fox                          "
"#ontherecord                  "
"#fail#politician              "
"#nascar                       "
"#robotrubio                   "
"#stopcommoncore               "
"#greta                        "
"#lonestarstate                "
"#makeyoutubegreatagain        "
"#noloyalty                    "
"#nvcaucus                     "
"#votetrumpnv                  "
"#nevadacaucus                 "
"#trumplv                      "
"#trumpnv                      "
"#votetrumpvt                  "
"#votetrumpnc                  "
"#votetrumpma                  "
"#votetrumpil                  "
"#bikersfortrump               "
"#scprimary                    "
"#watch                        "
"#fairandbalancedmyass         "
"#ted                          "
"#southcarolina                "
"#votetrumpsc                  "
"#vaticanwalls                 "
"#colbert                      "
"#maitnerstrong                "
"#ford                         "
"#carrier                      "
"#jobs                         "
"#mexico                       "
"#southcarolinaprimary         "
"#fitn                         "
"#nhprimary                    "
"#votetrumpnh                  "
"#commoncore                   "
"#superbowlsunday              "
"#sb50                         "
"#gplfers                      "
"#trumpsupporters              "
